disease,gene_symbol,gene_full_name
Jeune syndrome,IFT80,intraflagellar transport 80
Jeune syndrome,DYNC2H1,dynein cytoplasmic 2 heavy chain 1
Jeune syndrome,TTC21B,tetratricopeptide repeat domain 21B
Jeune syndrome,WDR19,WD repeat domain 19
Jeune syndrome,IFT140,intraflagellar transport 140
Jeune syndrome,DYNC2I1,dynein 2 intermediate chain 1
Jeune syndrome,IFT172,intraflagellar transport 172
Jeune syndrome,DYNC2I2,dynein 2 intermediate chain 2
Jeune syndrome,CEP120,centrosomal protein 120
Familial hemophagocytic lymphohistiocytosis,PRF1,perforin 1
Familial hemophagocytic lymphohistiocytosis,STX11,syntaxin 11
Familial hemophagocytic lymphohistiocytosis,UNC13D,unc-13 homolog D
Familial hemophagocytic lymphohistiocytosis,STXBP2,syntaxin binding protein 2
"Microphthalmia, Lenz type",BCOR,BCL6 corepressor
"Microphthalmia, Lenz type",NAA10,"N-alpha-acetyltransferase 10, NatA catalytic subunit"
Meckel syndrome,TXNDC15,thioredoxin domain containing 15
Meckel syndrome,TMEM107,transmembrane protein 107
Meckel syndrome,TCTN1,tectonic family member 1
Meckel syndrome,TMEM237,transmembrane protein 237
Meckel syndrome,RPGRIP1,RPGR interacting protein 1
Meckel syndrome,CEP290,centrosomal protein 290
Meckel syndrome,TMEM67,transmembrane protein 67
Meckel syndrome,MKS1,MKS transition zone complex subunit 1
Meckel syndrome,RPGRIP1L,RPGRIP1 like
Meckel syndrome,CC2D2A,coiled-coil and C2 domain containing 2A
Meckel syndrome,TMEM216,transmembrane protein 216
Meckel syndrome,TCTN3,tectonic family member 3
Meckel syndrome,TCTN2,tectonic family member 2
Meckel syndrome,B9D1,B9 domain containing 1
Meckel syndrome,B9D2,B9 domain containing 2
Meckel syndrome,TMEM231,transmembrane protein 231
Meckel syndrome,CSPP1,centrosome and spindle pole associated protein 1
Ellis Van Creveld syndrome,DYNC2LI1,dynein cytoplasmic 2 light intermediate chain 1
Ellis Van Creveld syndrome,GLI1,GLI family zinc finger 1
Ellis Van Creveld syndrome,EVC2,EvC ciliary complex subunit 2
Ellis Van Creveld syndrome,EVC,EvC ciliary complex subunit 1
Ellis Van Creveld syndrome,PRKACA,protein kinase cAMP-activated catalytic subunit alpha
Ellis Van Creveld syndrome,PRKACB,protein kinase cAMP-activated catalytic subunit beta
Laminin subunit alpha 2-related congenital muscular dystrophy,LAMA2,laminin subunit alpha 2
Chromosome Y microdeletion syndrome,AZF1,azoospermia factor 1
Chromosome Y microdeletion syndrome,USP9Y,ubiquitin specific peptidase 9 Y-linked
Chromosome Y microdeletion syndrome,DAZ1,deleted in azoospermia 1
Chromosome Y microdeletion syndrome,DAZ2,deleted in azoospermia 2
Chromosome Y microdeletion syndrome,DAZ3,deleted in azoospermia 3
Chromosome Y microdeletion syndrome,DAZ4,deleted in azoospermia 4
Chromosome Y microdeletion syndrome,DDX3Y,DEAD-box helicase 3 Y-linked
Chromosome Y microdeletion syndrome,RBMY1A1,RNA binding motif protein Y-linked family 1 member A1
Chromosome Y microdeletion syndrome,TSPY1,testis specific protein Y-linked 1
Primary CD59 deficiency,CD59,CD59 molecule (CD59 blood group)
Apert syndrome,FGFR2,fibroblast growth factor receptor 2
Familial paroxysmal ataxia,CACNA1A,calcium voltage-gated channel subunit alpha1 A
Recurrent Neisseria infections due to factor D deficiency,CFD,complement factor D
Lamellar ichthyosis,SULT2B1,sulfotransferase family 2B member 1
Lamellar ichthyosis,ASPRV1,aspartic peptidase retroviral like 1
Lamellar ichthyosis,SDR9C7,short chain dehydrogenase/reductase family 9C member 7
Lamellar ichthyosis,ABCA12,ATP binding cassette subfamily A member 12
Lamellar ichthyosis,ALOX12B,"arachidonate 12-lipoxygenase, 12R type"
Lamellar ichthyosis,ALOXE3,arachidonate epidermal lipoxygenase 3
Lamellar ichthyosis,TGM1,transglutaminase 1
Lamellar ichthyosis,CYP4F22,cytochrome P450 family 4 subfamily F member 22
Lamellar ichthyosis,NIPAL4,NIPA like domain containing 4
Lamellar ichthyosis,LIPN,lipase family member N
Mild hemophilia B,F9,coagulation factor IX
Moderate hemophilia B,F9,coagulation factor IX
Severe hemophilia B,F9,coagulation factor IX
Ocular albinism with late-onset sensorineural deafness,AP3D1,adaptor related protein complex 3 subunit delta 1
Severe congenital nemaline myopathy,ACTA1,"actin alpha 1, skeletal muscle"
Severe congenital nemaline myopathy,NEB,nebulin
Severe congenital nemaline myopathy,KLHL40,kelch like family member 40
Severe congenital nemaline myopathy,KLHL41,kelch like family member 41
Severe congenital nemaline myopathy,LMOD3,leiomodin 3
Intermediate nemaline myopathy,TPM3,tropomyosin 3
Intermediate nemaline myopathy,ACTA1,"actin alpha 1, skeletal muscle"
Intermediate nemaline myopathy,NEB,nebulin
Intermediate nemaline myopathy,KLHL41,kelch like family member 41
Typical nemaline myopathy,ACTA1,"actin alpha 1, skeletal muscle"
Typical nemaline myopathy,CFL2,cofilin 2
Typical nemaline myopathy,TPM2,tropomyosin 2
Typical nemaline myopathy,NEB,nebulin
Typical nemaline myopathy,KLHL41,kelch like family member 41
Typical nemaline myopathy,LMOD3,leiomodin 3
Childhood-onset nemaline myopathy,TPM2,tropomyosin 2
Childhood-onset nemaline myopathy,MYPN,myopalladin
Childhood-onset nemaline myopathy,ACTA1,"actin alpha 1, skeletal muscle"
Childhood-onset nemaline myopathy,TPM3,tropomyosin 3
Childhood-onset nemaline myopathy,NEB,nebulin
Childhood-onset nemaline myopathy,KBTBD13,kelch repeat and BTB domain containing 13
Childhood-onset nemaline myopathy,KLHL41,kelch like family member 41
Muscle filaminopathy,FLNC,filamin C
X-linked spastic paraplegia type 34,SPG34,spastic paraplegia 34 (autosomal dominant)
Bruck syndrome,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
Bruck syndrome,FKBP10,FKBP prolyl isomerase 10
Autosomal dominant spastic paraplegia type 37,SPG37,spastic paraplegia 37 (autosomal dominant)
Autosomal dominant spastic paraplegia type 37,KPNA3,karyopherin subunit alpha 3
Autosomal dominant spastic paraplegia type 38,SPG38,"spastic paraplegia 38 (autosomal dominant, Silver syndrome)"
Mitochondrial DNA-related cardiomyopathy and hearing loss,MT-TK,mitochondrially encoded tRNA-Lys (AAA/G)
Autosomal recessive spastic paraplegia type 32,SPG32,spastic paraplegia 32 (autosomal recessive)
Autosomal recessive spastic paraplegia type 35,FA2H,fatty acid 2-hydroxylase
Treacher-Collins syndrome,POLR1B,RNA polymerase I subunit B
Treacher-Collins syndrome,TCOF1,treacle ribosome biogenesis factor 1
Treacher-Collins syndrome,POLR1D,RNA polymerase I and III subunit D
Treacher-Collins syndrome,POLR1C,RNA polymerase I and III subunit C
Progressive myoclonic epilepsy type 1,CSTB,cystatin B
Progressive myoclonic epilepsy type 1,SCARB2,scavenger receptor class B member 2
Progressive myoclonic epilepsy type 1,PRICKLE1,prickle planar cell polarity protein 1
Cornelia de Lange syndrome,SMC1A,structural maintenance of chromosomes 1A
Cornelia de Lange syndrome,NIPBL,NIPBL cohesin loading factor
Cornelia de Lange syndrome,SMC3,structural maintenance of chromosomes 3
Cornelia de Lange syndrome,HDAC8,histone deacetylase 8
Cornelia de Lange syndrome,RAD21,RAD21 cohesin complex component
Cornelia de Lange syndrome,BRD4,bromodomain containing 4
Idiopathic achalasia,CRLF1,cytokine receptor like factor 1
Idiopathic achalasia,HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1"
Idiopathic achalasia,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1"
Idiopathic achalasia,NOS1,nitric oxide synthase 1
22q11.2 duplication syndrome,TBX1,T-box transcription factor 1
Cernunnos-XLF deficiency,NHEJ1,non-homologous end joining factor 1
CLAPO syndrome,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
Immunodeficiency due to CD25 deficiency,IL2RA,interleukin 2 receptor subunit alpha
Severe combined immunodeficiency due to FOXN1 deficiency,FOXN1,forkhead box N1
Combined immunodeficiency due to CD3gamma deficiency,CD3G,CD3 gamma subunit of T-cell receptor complex
Susceptibility to respiratory infections associated with CD8alpha chain mutation,CD8A,CD8 subunit alpha
Primary peritoneal carcinoma,BRCA1,BRCA1 DNA repair associated
"46,XY difference of sex development due to 5-alpha-reductase 2 deficiency",SRD5A2,steroid 5 alpha-reductase 2
Triose phosphate-isomerase deficiency,TPI1,triosephosphate isomerase 1
Darier disease,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
"Heart-hand syndrome, Slovenian type",LMNA,lamin A/C
Coffin-Siris syndrome,ARID2,AT-rich interaction domain 2
Coffin-Siris syndrome,SMARCB1,SWI/SNF related BAF chromatin remodeling complex subunit B1
Coffin-Siris syndrome,SMARCA4,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4
Coffin-Siris syndrome,ARID1B,AT-rich interaction domain 1B
Coffin-Siris syndrome,ARID1A,AT-rich interaction domain 1A
Coffin-Siris syndrome,SMARCE1,SWI/SNF related BAF chromatin remodeling complex subunit E1
Coffin-Siris syndrome,SOX11,SRY-box transcription factor 11
Coffin-Siris syndrome,SOX4,SRY-box transcription factor 4
Coffin-Siris syndrome,DPF2,double PHD fingers 2
Coffin-Siris syndrome,SMARCD1,SWI/SNF related BAF chromatin remodeling complex subunit D1
Coffin-Siris syndrome,SMARCC2,SWI/SNF related BAF chromatin remodeling complex subunit C2
Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement,FGFR1,fibroblast growth factor receptor 1
Myeloid/lymphoid neoplasm associated with PDGFRB rearrangement,PDGFRB,platelet derived growth factor receptor beta
Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement,PDGFRA,platelet derived growth factor receptor alpha
Chronic eosinophilic leukemia,FIP1L1,factor interacting with PAPOLA and CPSF1
Chronic eosinophilic leukemia,PDGFRA,platelet derived growth factor receptor alpha
Isolated complex I deficiency,TMEM126B,transmembrane protein 126B
Isolated complex I deficiency,NDUFAF8,NADH:ubiquinone oxidoreductase complex assembly factor 8
Isolated complex I deficiency,TIMMDC1,translocase of inner mitochondrial membrane domain containing 1
Isolated complex I deficiency,NDUFB11,NADH:ubiquinone oxidoreductase subunit B11
Isolated complex I deficiency,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6
Isolated complex I deficiency,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
Isolated complex I deficiency,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2
Isolated complex I deficiency,MT-ND3,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
Isolated complex I deficiency,NDUFAF2,NADH:ubiquinone oxidoreductase complex assembly factor 2
Isolated complex I deficiency,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1
Isolated complex I deficiency,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2
Isolated complex I deficiency,NDUFS3,NADH:ubiquinone oxidoreductase core subunit S3
Isolated complex I deficiency,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4
Isolated complex I deficiency,NDUFS6,NADH:ubiquinone oxidoreductase subunit S6
Isolated complex I deficiency,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7
Isolated complex I deficiency,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8
Isolated complex I deficiency,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1
Isolated complex I deficiency,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2
Isolated complex I deficiency,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1
Isolated complex I deficiency,NDUFAF4,NADH:ubiquinone oxidoreductase complex assembly factor 4
Isolated complex I deficiency,NDUFAF5,NADH:ubiquinone oxidoreductase complex assembly factor 5
Isolated complex I deficiency,NDUFA11,NADH:ubiquinone oxidoreductase subunit A11
Isolated complex I deficiency,NDUFAF3,NADH:ubiquinone oxidoreductase complex assembly factor 3
Isolated complex I deficiency,NUBPL,"NUBP iron-sulfur cluster assembly factor, mitochondrial"
Isolated complex I deficiency,FOXRED1,FAD dependent oxidoreductase domain containing 1
Isolated complex I deficiency,NDUFAF1,NADH:ubiquinone oxidoreductase complex assembly factor 1
Isolated complex I deficiency,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9
Isolated complex I deficiency,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3
Isolated complex I deficiency,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10
Large/giant congenital melanocytic nevus,ZEB2,zinc finger E-box binding homeobox 2
Large/giant congenital melanocytic nevus,BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
Large/giant congenital melanocytic nevus,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase"
Large/giant congenital melanocytic nevus,ALK,ALK receptor tyrosine kinase
Large/giant congenital melanocytic nevus,NRAS,"NRAS proto-oncogene, GTPase"
Large/giant congenital melanocytic nevus,SOX5,SRY-box transcription factor 5
Large/giant congenital melanocytic nevus,BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
Adult Refsum disease,PHYH,phytanoyl-CoA 2-hydroxylase
Adult Refsum disease,PEX7,peroxisomal biogenesis factor 7
T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency,IL7R,interleukin 7 receptor
Immunodeficiency due to a late component of complement deficiency,C5,complement C5
Immunodeficiency due to a late component of complement deficiency,C6,complement C6
Immunodeficiency due to a late component of complement deficiency,C7,complement C7
Immunodeficiency due to a late component of complement deficiency,C8A,complement C8 alpha chain
Immunodeficiency due to a late component of complement deficiency,C8B,complement C8 beta chain
Immunodeficiency due to a late component of complement deficiency,C8G,complement C8 gamma chain
Immunodeficiency due to a late component of complement deficiency,C9,complement C9
T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,CD3D,CD3 delta subunit of T-cell receptor complex
T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,CD3E,CD3 epsilon subunit of T-cell receptor complex
T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,CD247,CD247 molecule
T-B+ severe combined immunodeficiency due to CD45 deficiency,PTPRC,protein tyrosine phosphatase receptor type C
Northern epilepsy,CLN8,CLN8 transmembrane ER and ERGIC protein
Immunodeficiency due to a classical component pathway complement deficiency,C2,complement C2
Immunodeficiency due to a classical component pathway complement deficiency,C4A,complement C4A (Chido/Rodgers blood group)
Immunodeficiency due to a classical component pathway complement deficiency,C4B,complement C4B (Chido/Rodgers blood group)
Immunodeficiency due to a classical component pathway complement deficiency,C1QA,complement C1q A chain
Immunodeficiency due to a classical component pathway complement deficiency,C1QB,complement C1q B chain
Immunodeficiency due to a classical component pathway complement deficiency,C1QC,complement C1q C chain
Immunodeficiency due to a classical component pathway complement deficiency,C1S,complement C1s
Immunodeficiency due to a classical component pathway complement deficiency,C1R,complement C1r
Recurrent infections due to specific granule deficiency,CEBPE,CCAAT enhancer binding protein epsilon
Recurrent infections due to specific granule deficiency,SMARCD2,SWI/SNF related BAF chromatin remodeling complex subunit D2
X-linked centronuclear myopathy,MTM1,myotubularin 1
Bethlem muscular dystrophy,COL6A1,collagen type VI alpha 1 chain
Bethlem muscular dystrophy,COL6A2,collagen type VI alpha 2 chain
Bethlem muscular dystrophy,COL6A3,collagen type VI alpha 3 chain
Bethlem muscular dystrophy,COL12A1,collagen type XII alpha 1 chain
Autosomal recessive centronuclear myopathy,TTN,titin
Autosomal recessive centronuclear myopathy,SPEG,striated muscle enriched protein kinase
Autosomal recessive centronuclear myopathy,RYR1,ryanodine receptor 1
Autosomal recessive centronuclear myopathy,BIN1,bridging integrator 1
Incontinentia pigmenti,IKBKG,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
Autosomal dominant centronuclear myopathy,RYR1,ryanodine receptor 1
Autosomal dominant centronuclear myopathy,DNM2,dynamin 2
Autosomal dominant centronuclear myopathy,MYF6,myogenic factor 6
Autosomal dominant centronuclear myopathy,BIN1,bridging integrator 1
Autosomal dominant centronuclear myopathy,MTMR14,myotubularin related protein 14
Neonatal adrenoleukodystrophy,PEX2,peroxisomal biogenesis factor 2
Neonatal adrenoleukodystrophy,PEX1,peroxisomal biogenesis factor 1
Neonatal adrenoleukodystrophy,PEX10,peroxisomal biogenesis factor 10
Neonatal adrenoleukodystrophy,PEX12,peroxisomal biogenesis factor 12
Neonatal adrenoleukodystrophy,PEX13,peroxisomal biogenesis factor 13
Neonatal adrenoleukodystrophy,PEX14,peroxisomal biogenesis factor 14
Neonatal adrenoleukodystrophy,PEX16,peroxisomal biogenesis factor 16
Neonatal adrenoleukodystrophy,PEX19,peroxisomal biogenesis factor 19
Neonatal adrenoleukodystrophy,PEX26,peroxisomal biogenesis factor 26
Neonatal adrenoleukodystrophy,PEX3,peroxisomal biogenesis factor 3
Neonatal adrenoleukodystrophy,PEX5,peroxisomal biogenesis factor 5
Neonatal adrenoleukodystrophy,PEX6,peroxisomal biogenesis factor 6
Neonatal adrenoleukodystrophy,PEX11B,peroxisomal biogenesis factor 11 beta
Alkaptonuria,HGD,"homogentisate 1,2-dioxygenase"
Acromegaly,AIP,AHR interacting HSP90 co-chaperone
Acromegaly,GPR101,G protein-coupled receptor 101
Blue rubber bleb nevus,TEK,TEK receptor tyrosine kinase
Succinic semialdehyde dehydrogenase deficiency,ALDH5A1,aldehyde dehydrogenase 5 family member A1
Mevalonic aciduria,MVK,mevalonate kinase
Nager syndrome,SF3B4,splicing factor 3b subunit 4
Hereditary orotic aciduria,UMPS,uridine monophosphate synthetase
Acrocallosal syndrome,GLI3,GLI family zinc finger 3
Acrocallosal syndrome,KIF7,kinesin family member 7
Aarskog-Scott syndrome,FGD1,"FYVE, RhoGEF and PH domain containing 1"
Nail-patella syndrome,LMX1B,LIM homeobox transcription factor 1 beta
